Time	Velocity
9.971000e+00	1.002908e+01
1.877006e+01	1.136485e+01
2.698150e+01	1.217814e+01
3.636675e+01	1.065502e+01
4.516587e+01	1.136477e+01
5.513700e+01	1.002896e+01
6.393594e+01	1.136501e+01
7.214775e+01	1.217758e+01
8.153269e+01	1.065537e+01
8.915838e+01	1.311357e+01
9.678331e+01	1.311486e+01
1.079283e+02	8.972633e+00
1.173143e+02	1.065417e+01
1.249393e+02	1.311486e+01
1.343239e+02	1.065566e+01
1.413633e+02	1.420581e+01
1.495753e+02	1.217730e+01
1.589601e+02	1.065558e+01
1.677593e+02	1.136460e+01
1.777315e+02	1.002789e+01
1.871169e+02	1.065488e+01
1.947424e+02	1.311379e+01
2.041273e+02	1.065551e+01
2.117530e+02	1.311346e+01
2.199646e+02	1.217786e+01
2.328704e+02	7.748484e+00
2.399086e+02	1.420808e+01
2.498802e+02	1.002852e+01
2.575060e+02	1.311336e+01
2.651310e+02	1.311475e+01
2.751021e+02	1.002896e+01
2.833148e+02	1.217628e+01
2.932879e+02	1.002695e+01
3.009133e+02	1.311422e+01
3.114712e+02	9.471547e+00
3.202709e+02	1.136404e+01
3.284825e+02	1.217786e+01
3.396270e+02	8.973036e+00
3.484262e+02	1.136469e+01
3.560510e+02	1.311508e+01
3.660228e+02	1.002833e+01
3.765821e+02	9.470314e+00
3.865539e+02	1.002827e+01
3.941792e+02	1.311422e+01
4.029769e+02	1.136654e+01
4.129485e+02	1.002852e+01
4.205737e+02	1.311443e+01
4.293712e+02	1.136687e+01
4.393429e+02	1.002839e+01
4.469686e+02	1.311346e+01
4.545938e+02	1.311454e+01
4.645659e+02	1.002789e+01
4.721913e+02	1.311422e+01
4.827504e+02	9.470426e+00
4.909621e+02	1.217786e+01
5.009340e+02	1.002814e+01
5.085591e+02	1.311454e+01
5.173569e+02	1.136646e+01
5.279149e+02	9.471547e+00
5.355403e+02	1.311411e+01
5.443385e+02	1.136590e+01
5.537229e+02	1.065601e+01
5.619354e+02	1.217656e+01
5.719076e+02	1.002789e+01
5.895077e+02	5.681758e+00
6.024127e+02	7.748972e+00
6.112116e+02	1.136501e+01
6.217706e+02	9.470594e+00
6.293959e+02	1.311432e+01
6.405407e+02	8.972734e+00
6.511001e+02	9.470257e+00
6.610711e+02	1.002915e+01
6.681100e+02	1.420669e+01
6.769086e+02	1.136549e+01
6.868798e+02	1.002883e+01
6.950922e+02	1.217675e+01
7.038904e+02	1.136590e+01
7.138617e+02	1.002883e+01
7.279410e+02	7.102620e+00
7.384997e+02	9.470874e+00
7.467119e+02	1.217693e+01
7.560974e+02	1.065480e+01
7.666556e+02	9.471267e+00
7.742816e+02	1.311303e+01
7.824933e+02	1.217786e+01
7.930516e+02	9.471210e+00
8.018510e+02	1.136436e+01
8.088893e+02	1.420795e+01
8.188600e+02	1.002940e+01
8.270722e+02	1.217702e+01
8.364571e+02	1.065537e+01
8.470149e+02	9.471715e+00
8.564004e+02	1.065466e+01
8.646123e+02	1.217758e+01
8.763441e+02	8.523832e+00
8.863151e+02	1.002902e+01
8.939407e+02	1.311379e+01
9.021523e+02	1.217786e+01
9.127101e+02	9.471659e+00
9.220961e+02	1.065424e+01
9.303078e+02	1.217767e+01
9.402799e+02	1.002795e+01
9.490796e+02	1.136404e+01
9.572916e+02	1.217730e+01
9.672631e+02	1.002858e+01
9.754759e+02	1.217619e+01
9.825143e+02	1.420782e+01
9.942459e+02	8.523968e+00
1.005978e+03	8.523923e+00
1.015949e+03	1.002864e+01
1.024748e+03	1.136452e+01
1.032960e+03	1.217739e+01
1.043519e+03	9.471098e+00
1.051731e+03	1.217628e+01
1.059357e+03	1.311454e+01
1.069915e+03	9.470874e+00
1.081061e+03	8.972130e+00
1.091619e+03	9.470930e+00
1.099244e+03	1.311508e+01
1.109216e+03	1.002852e+01
1.117428e+03	1.217730e+01
1.125053e+03	1.311497e+01
1.135025e+03	1.002814e+01
1.143237e+03	1.217656e+01
1.152037e+03	1.136404e+01
1.160249e+03	1.217693e+01
1.170807e+03	9.471547e+00
1.179020e+03	1.217628e+01
1.187231e+03	1.217795e+01
1.197202e+03	1.002883e+01
1.206002e+03	1.136460e+01
1.214214e+03	1.217739e+01
1.224772e+03	9.471603e+00
1.233571e+03	1.136444e+01
1.241195e+03	1.311561e+01
1.251753e+03	9.471435e+00
1.262313e+03	9.469753e+00
1.272873e+03	9.470201e+00
1.283430e+03	9.471827e+00
1.292230e+03	1.136428e+01
1.301029e+03	1.136533e+01
1.311587e+03	9.471323e+00
1.319798e+03	1.217804e+01
1.327423e+03	1.311551e+01
1.337394e+03	1.002871e+01
1.345020e+03	1.311422e+01
1.352644e+03	1.311497e+01
1.362030e+03	1.065509e+01
1.370241e+03	1.217786e+01
1.378453e+03	1.217739e+01
1.391359e+03	7.748559e+00
1.406025e+03	6.818521e+00
1.414823e+03	1.136549e+01
1.427729e+03	7.748372e+00
1.437114e+03	1.065523e+01
1.447673e+03	9.471323e+00
1.455885e+03	1.217637e+01
1.463510e+03	1.311432e+01
1.474068e+03	9.471771e+00
1.482867e+03	1.136444e+01
