Time	Velocity
2.813475e+01	3.554323e+00
5.158306e+01	4.264699e+00
7.796006e+01	3.791182e+00
1.178182e+02	2.508895e+00
1.547508e+02	2.707638e+00
1.963686e+02	2.402821e+00
2.883976e+02	1.086614e+00
4.542930e+02	6.027893e-01
5.199439e+02	1.523207e+00
5.750450e+02	1.814847e+00
6.072872e+02	3.101527e+00
6.377684e+02	3.280705e+00
6.805646e+02	2.336660e+00
7.204284e+02	2.508541e+00
7.755339e+02	1.814701e+00
9.795461e+02	4.901666e-01
1.041105e+03	1.624469e+00
1.088003e+03	2.132267e+00
1.133145e+03	2.215214e+00
1.161871e+03	3.481167e+00
1.190010e+03	3.553834e+00
1.222840e+03	3.046035e+00
1.246877e+03	4.160264e+00
1.270325e+03	4.264676e+00
1.304915e+03	2.891025e+00
1.336572e+03	3.158840e+00
1.371746e+03	2.843039e+00
1.432718e+03	1.640087e+00
1.518320e+03	1.168195e+00
1.741691e+03	4.476866e-01
1.850748e+03	9.169533e-01
1.909379e+03	1.705564e+00
1.961559e+03	1.916450e+00
2.021364e+03	1.672104e+00
2.058889e+03	2.664895e+00
2.097583e+03	2.584347e+00
2.143317e+03	2.186569e+00
2.174977e+03	3.158541e+00
2.205464e+03	3.280120e+00
2.240642e+03	2.842686e+00
2.267612e+03	3.707763e+00
2.293994e+03	3.790562e+00
2.328585e+03	2.890857e+00
2.352623e+03	4.160091e+00
2.380179e+03	3.629031e+00
2.410667e+03	3.279945e+00
2.431189e+03	4.872953e+00
2.451709e+03	4.873339e+00
2.478680e+03	3.707617e+00
2.498615e+03	5.016445e+00
2.517961e+03	5.168777e+00
2.543759e+03	3.876298e+00
2.563108e+03	5.168259e+00
2.581281e+03	5.502612e+00
2.605319e+03	4.160091e+00
2.623494e+03	5.502120e+00
2.641081e+03	5.685998e+00
2.663946e+03	4.373532e+00
2.681535e+03	5.685452e+00
2.697363e+03	6.317843e+00
2.718469e+03	4.737877e+00
2.735471e+03	5.881661e+00
2.751300e+03	6.317668e+00
2.771820e+03	4.873339e+00
2.788237e+03	6.091293e+00
2.804652e+03	6.091711e+00
2.822827e+03	5.502234e+00
2.836897e+03	7.107194e+00
2.853900e+03	5.881510e+00
2.869729e+03	6.317543e+00
2.895528e+03	3.876053e+00
2.910772e+03	6.559985e+00
2.930706e+03	5.016476e+00
2.940087e+03	1.066020e+01
2.960020e+03	5.016712e+00
2.975851e+03	6.316720e+00
2.990508e+03	6.822737e+00
3.011614e+03	4.738087e+00
3.027445e+03	6.316646e+00
3.040342e+03	7.753591e+00
3.060276e+03	5.016633e+00
3.074934e+03	6.822184e+00
3.089590e+03	6.823173e+00
3.109522e+03	5.017074e+00
3.124766e+03	6.559877e+00
3.140009e+03	6.560361e+00
3.161115e+03	4.737975e+00
3.175187e+03	7.106531e+00
3.191016e+03	6.317294e+00
3.208605e+03	5.685594e+00
3.226780e+03	5.502063e+00
3.244367e+03	5.685897e+00
3.259025e+03	6.822213e+00
3.274854e+03	6.317319e+00
3.293615e+03	5.330295e+00
3.308860e+03	6.559716e+00
3.322930e+03	7.107257e+00
3.343449e+03	4.873458e+00
3.358694e+03	6.559393e+00
3.374525e+03	6.316895e+00
3.389769e+03	6.559985e+00
3.409704e+03	5.016350e+00
3.424948e+03	6.559770e+00
3.441364e+03	6.091734e+00
3.460712e+03	5.168393e+00
3.476542e+03	6.317119e+00
3.490612e+03	7.107226e+00
3.510547e+03	5.016476e+00
3.525204e+03	6.822359e+00
3.539274e+03	7.107289e+00
3.559209e+03	5.016350e+00
3.573281e+03	7.106689e+00
3.593215e+03	5.016350e+00
3.607872e+03	6.822970e+00
3.632497e+03	4.060800e+00
3.653604e+03	4.737933e+00
3.668261e+03	6.822388e+00
3.684677e+03	6.091873e+00
3.705198e+03	4.873042e+00
3.721028e+03	6.317020e+00
3.735098e+03	7.107068e+00
3.754446e+03	5.168643e+00
3.768517e+03	7.106594e+00
3.783174e+03	6.822882e+00
3.803109e+03	5.016319e+00
3.817181e+03	7.106405e+00
3.832425e+03	6.559877e+00
3.869368e+03	2.706854e+00
3.887546e+03	5.501288e+00
3.903963e+03	6.090922e+00
3.919208e+03	6.559797e+00
3.937971e+03	5.329549e+00
3.953803e+03	6.316396e+00
3.970220e+03	6.091247e+00
3.987224e+03	5.880861e+00
4.003056e+03	6.316621e+00
4.017127e+03	7.106658e+00
4.035889e+03	5.329780e+00
4.050549e+03	6.821515e+00
4.066379e+03	6.316895e+00
4.084555e+03	5.501893e+00
4.099214e+03	6.821602e+00
4.113872e+03	6.822359e+00
4.133807e+03	5.016193e+00
4.147881e+03	7.105458e+00
4.161953e+03	7.106405e+00
4.179545e+03	5.684422e+00
4.194203e+03	6.822184e+00
4.215311e+03	4.737498e+00
4.231144e+03	6.316147e+00
4.246975e+03	6.316371e+00
4.266912e+03	5.016004e+00
4.282157e+03	6.559151e+00
4.297402e+03	6.559555e+00
4.316166e+03	5.329425e+00
4.331997e+03	6.316621e+00
4.347242e+03	6.559824e+00
4.366590e+03	5.168343e+00
4.382423e+03	6.316047e+00
4.397081e+03	6.822300e+00
4.415256e+03	5.501931e+00
