Time	Velocity
2.111431e+01	4.736124e+00
3.694919e+01	6.315175e+00
5.395713e+01	5.879608e+00
7.565800e+01	4.608109e+00
9.207950e+01	6.089578e+00
1.079132e+02	6.315623e+00
1.302004e+02	4.486895e+00
1.466219e+02	6.089555e+00
1.636292e+02	5.879845e+00
1.853282e+02	4.608494e+00
2.011631e+02	6.315200e+00
2.181699e+02	5.879997e+00
2.410442e+02	4.371704e+00
2.580529e+02	5.879348e+00
2.756480e+02	5.683413e+00
2.979351e+02	4.486895e+00
3.149431e+02	5.879586e+00
3.313637e+02	6.089902e+00
3.530642e+02	4.608202e+00
3.706587e+02	5.683594e+00
3.876668e+02	5.879543e+00
4.093673e+02	4.608189e+00
4.269620e+02	5.683534e+00
4.439693e+02	5.879824e+00
4.662556e+02	4.487059e+00
4.826773e+02	6.089508e+00
5.002709e+02	5.683877e+00
5.225556e+02	4.487386e+00
5.389774e+02	6.089485e+00
5.571581e+02	5.500323e+00
5.788591e+02	4.608083e+00
5.952809e+02	6.089462e+00
6.146351e+02	5.166841e+00
6.375069e+02	4.372194e+00
6.551017e+02	5.683493e+00
6.726947e+02	5.684099e+00
6.943931e+02	4.608627e+00
7.119884e+02	5.683352e+00
7.295828e+02	5.683614e+00
7.524557e+02	4.371979e+00
7.700507e+02	5.683453e+00
7.870580e+02	5.879824e+00
8.075850e+02	4.871632e+00
8.251795e+02	5.683594e+00
8.421870e+02	5.879759e+00
8.632986e+02	4.736741e+00
8.808943e+02	5.683211e+00
8.967291e+02	6.315200e+00
9.184290e+02	4.608308e+00
9.342651e+02	6.314701e+00
9.524469e+02	5.499983e+00
9.741474e+02	4.608202e+00
9.911553e+02	5.879629e+00
1.008162e+03	5.879867e+00
1.030450e+03	4.486883e+00
1.047458e+03	5.879608e+00
1.065639e+03	5.500210e+00
1.088512e+03	4.372003e+00
1.106107e+03	5.683130e+00
1.122528e+03	6.089833e+00
1.145401e+03	4.372074e+00
1.162409e+03	5.879586e+00
1.178829e+03	6.089902e+00
1.201115e+03	4.487235e+00
1.218709e+03	5.683816e+00
1.235129e+03	6.090018e+00
1.257416e+03	4.486921e+00
1.273837e+03	6.089740e+00
1.290258e+03	6.089717e+00
1.311958e+03	4.608348e+00
1.328966e+03	5.879651e+00
1.348319e+03	5.167107e+00
1.370605e+03	4.487185e+00
1.388200e+03	5.683191e+00
1.404623e+03	6.089276e+00
1.427496e+03	4.371883e+00
1.443332e+03	6.314851e+00
1.461513e+03	5.500285e+00
1.484387e+03	4.371740e+00
1.500222e+03	6.315050e+00
1.519576e+03	5.166807e+00
1.541862e+03	4.487122e+00
1.558872e+03	5.879003e+00
1.576466e+03	5.683736e+00
1.598752e+03	4.487210e+00
1.615174e+03	6.089300e+00
1.632770e+03	5.683191e+00
1.654471e+03	4.607990e+00
1.671480e+03	5.879176e+00
1.687315e+03	6.315299e+00
1.709602e+03	4.486833e+00
1.726611e+03	5.879478e+00
1.745378e+03	5.328396e+00
1.767663e+03	4.487223e+00
1.784673e+03	5.879197e+00
1.802854e+03	5.500172e+00
1.825727e+03	4.371883e+00
1.841563e+03	6.314651e+00
1.858571e+03	5.879608e+00
1.880858e+03	4.487009e+00
1.896694e+03	6.314601e+00
1.916049e+03	5.166807e+00
1.937161e+03	4.736502e+00
1.953584e+03	6.089184e+00
1.971766e+03	5.499926e+00
1.995227e+03	4.262416e+00
2.012236e+03	5.879068e+00
2.029245e+03	5.879132e+00
2.050948e+03	4.607830e+00
2.067957e+03	5.879219e+00
2.084378e+03	6.089508e+00
2.105492e+03	4.736292e+00
2.121327e+03	6.315025e+00
2.137749e+03	6.089647e+00
2.160623e+03	4.371668e+00
2.178805e+03	5.499888e+00
2.195227e+03	6.089647e+00
2.217512e+03	4.487197e+00
2.235106e+03	5.683695e+00
2.252701e+03	5.683715e+00
2.275574e+03	4.371847e+00
