Vernier Format 2
Bandlücke-Ge2.cmbl 05.11.2009 10:49:24 ,
Latest
Time	Winkel	Pyro	Sample	Wellenlänge	Energie
t	Pot	Pot	Pot	Lambda	E
s	°	V	V	nm	eV

0	90,1851116068	0,00610501	0,031746	3305,45991636	0,374834374444
0,5	90,1851116068	0,00488401	0,014652	3305,45991636	0,374834374444
1	89,66305987	0,00488401	0,019536	3305,42001165	0,374838899636
1,5	87,7706223241	0,00610501	0,031746	3302,97525943	0,375116342898
2	85,6824153769	0,00610501	0,028083	3296,09647111	0,375899191926
2,5	83,5289519626	0,00610501	0,017094	3284,41774541	0,377235813481
3	81,4406915703	0,00610501	0,031746	3268,66186042	0,37905419799
3,5	79,287228156	0,00610501	0,020757	3247,86727904	0,381481105462
4	77,1990212088	0,00610501	0,013431	3223,32141502	0,384386116204
4,5	75,0455577945	0,00610501	0,031746	3193,52500819	0,387972537187
5	72,8920943802	0,00610501	0,026862	3159,21784961	0,392185679805
5,5	70,803887433	0,00610501	0,018315	3121,68827794	0,396900615848
6	68,6504240187	0,00610501	0,019536	3078,64398878	0,402449911233
6,5	66,5622170715	0,00610501	0,02442	3032,7506173	0,40854002071
7	64,4087536572	0,00610501	0,013431	2981,20499861	0,415603757735
7,5	62,2552902429	0,00610501	0,017094	2925,44852337	0,423524799736
8	60,1670832957	0,00610501	0,023199	2867,43465995	0,432093542464
8,5	57,9483634143	0,00610501	0,01221	2801,62385668	0,442243521395
9	55,8601564671	0,00610501	0,019536	2735,84516546	0,452876506186
9,5	53,706799943	0,00610501	0,018315	2664,20976308	0,465053471829
10	51,487759391	0,00610501	0,010989	2586,45372828	0,479034280202
10,5	49,464862356	0,00610501	0,021978	2512,18756158	0,493195659013
11	47,115950211	0,00610501	0,025641	2422,03012575	0,511554330737
11,5	45,027315703	0,00610501	0,017094	2338,43937216	0,52984054868
12	42,939215646	0,00610501	0,025641	2251,76407365	0,550235264209
12,5	40,720709545	0,00610501	0,021978	2156,40203574	0,574568183236
13	38,632609488	0,00610501	0,010989	2063,68969416	0,600380960136
13,5	36,54397498	0,00610501	0,018315	1968,21193062	0,629505380353
14	34,325468879	0,00610501	0,026862	1863,9361208	0,664722350823
14,5	32,106962778	0,00610501	0,017094	1756,86614144	0,705233011654
15	30,01832827	0,00610501	0,023199	1653,65422131	0,749249742804
15,5	27,865025191	0,00610501	0,023199	1544,94781297	0,801968836486
16	25,711722112	0,00610501	0,00732601	1434,05954025	0,863980863573
16,5	23,558419033	0,00610501	0,018315	1321,14600595	0,93782215926
17	21,469784525	0,00610501	0,02442	1209,83938801	1,02410287868
17,5	19,316481446	0,00610501	0,00854701	1093,40513599	1,1331572893
18	17,293584411	0,00610501	0,018315	982,612469836	1,26092436035
18,5	15,009340837	0,00610501	0,026862	856,040957222	1,44736065435
19	12,92124078	0,00488401	0,010989	739,142594133	1,67626654158
19,5	10,767937701	0,00610501	0,014652	617,567602959	2,00625809071
20	8,679837644	0,00610501	0,020757	498,839344888	2,48376559046
20,5	6,460797092	0,00610501	0,00854701	371,943416384	3,33115185113
21	4,372697035	0,00610501	0,019536	252,022461517	4,91622846845
21,5	2,284596978	0,00488401	0,031746	131,76681219	9,40297468999
22	0,065556426	0,00610501	0,00732601	3,7820450984	327,600535627
22,5	-2,087746653	0,00488401	0,020757	-120,418500999	-10,2891166201
23	-4,110643688	0,00610501	0,023199	-236,945644131	-5,22904738151
23,5	-6,329149789	0,00488401	0,014652	-364,395750882	-3,40014941722
24	-8,482987319	0,00610501	0,021978	-487,609906531	-2,54096560264
24,5	-10,636290398	0,00610501	0,025641	-610,104786038	-2,03079868959
