Vernier Format 2
Bandlücke-Ge2.cmbl 05.11.2009 10:51:47 ,
Latest
Time	Winkel	Pyro	Sample	Wellenlänge	Energie
t	Pot	Pot	Pot	Lambda	E
s	°	V	V	nm	eV

0	-87,508515532	0,00610501	0,00976801	-3302,35247857	-0,375187084977
0,5	-85,420415475	0,00488401	0,025641	-3294,92407312	-0,37603294416
1	-83,266577945	0,00610501	0,02442	-3282,6773866	-0,377435810494
1,5	-81,178477888	0,00610501	0,014652	-3266,37616736	-0,379319446541
2	-79,025174809	0,00610501	0,010989	-3245,02305452	-0,381815469161
2,5	-76,806134257	0,00610501	0,025641	-3218,22362813	-0,384994998225
3	-74,457222112	0,00610501	0,013431	-3184,59805096	-0,389060088644
3,5	-72,369122055	0,00854701	0,021978	-3150,21089162	-0,393307001539
4	-70,215284525	0,019536	0,026862	-3110,3584833	-0,398346366392
4,5	-67,996778424	0,0512821	0,026862	-3064,71543338	-0,404278970408
5	-65,71253485	0,0891331	0,013431	-3012,92023767	-0,411228941447
5,5	-63,689637815	0,103785	0,029304	-2963,05050623	-0,418150145398
6	-61,471131714	0,139194	0,029304	-2904,11484615	-0,426636020144
6,5	-59,121685118	0,161172	0,01221	-2836,95621501	-0,436735679404
7	-56,903179017	0,161172	0,02442	-2769,16024285	-0,447428061702
7,5	-54,81507896	0,272283	0,021978	-2701,55516486	-0,458624727015
8	-52,465632364	0,416361	0,015873	-2621,20387775	-0,47268356747
8,5	-50,312329285	0,561661	0,026862	-2543,68695526	-0,487088239156
9	-47,962882689	0,775336	0,023199	-2455,01489358	-0,504681256003
9,5	-45,80957961	0,995116	0,02442	-2370,11690827	-0,522759023268
10	-43,591073509	1,20391	0,015873	-2279,14869295	-0,543624031128
10,5	-41,241626913	1,4359	0,029304	-2179,0893338	-0,568586143203
11	-39,088323834	1,62027	0,015873	-2084,16168193	-0,594483628954
11,5	-36,999689326	1,66545	0,021978	-1989,27150412	-0,622841073949
12	-34,585574159	1,77289	0,02442	-1876,30942122	-0,660338847093
12,5	-32,431736629	2,13675	0,021978	-1772,70887233	-0,698930331619
13	-30,343636572	2,40415	0,017094	-1669,87761882	-0,741970540855
13,5	-27,928986954	2,56899	0,02442	-1548,20904017	-0,800279528058
14	-25,775683875	2,63858	0,020757	-1437,38333552	-0,861983000207
14,5	-23,687583818	2,86325	0,020757	-1327,97327107	-0,933000706412
15	-21,2729342	2,24786	0,031746	-1199,26371087	-1,03313390439
15,5	-19,184834143	1,21978	0,032967	-1086,23488091	-1,14063728
16	-17,031531064	0,0500611	0,029304	-968,167436319	-1,27973731973
16,5	-14,616881446	0,00732601	0,043956	-834,151938934	-1,48534090993
17	-12,463578367	0,00610501	0,031746	-713,38464773	-1,73679094994
17,5	-10,309740837	0,00610501	0,029304	-591,579538172	-2,09439292615
18	-7,960828692	0,00610501	0,040293	-457,795543021	-2,70644836738
18,5	-5,807525613	0,00610501	0,030525	-334,471221111	-3,7043545806
19	-3,653688083	0,00610501	0,032967	-210,643769077	-5,88196843149
19,5	-1,304775938	0,262515	0,03663	-75,2679227794	-16,4611956096
20	0,914264614	4,89744	0,023199	52,7430220065	23,4912591821
20,5	3,002364671	0,111111	0,030525	173,131542631	7,15640824987
21	5,220870772	0,00610501	0,039072	300,783014456	4,11924856276
21,5	7,570317368	0,00732601	0,026862	435,47302814	2,84518195143
22	9,723620447	0,00610501	0,03663	558,280966024	2,21931263182
22,5	11,812254955	0,00610501	0,041514	676,649080162	1,83108207241
23	14,226370122	0,00610501	0,030525	812,332724293	1,52523708937
23,5	16,380207652	0,00610501	0,031746	932,177791326	1,32914558953
