Vernier Format 2
Bandlücke-Ge2.cmbl 05.11.2009 11:11:54 ,
Latest
Time	Winkel	Pyro	Sample	Wellenlänge	Energie
t	Pot	Pot	Pot	Lambda	E
s	°	V	V	nm	eV

1	-90,771338887	0,00610501	0,025641	-3305,17763612	-0,37486638735
1,5	-90,509992348	0,00610501	0,046398	-3305,3462245	-0,374847267381
2	-89,92316515	0,00610501	0,040293	-3305,47419564	-0,374832755202
2,5	-89,401006523	0,00610501	0,00732601	-3305,29653397	-0,374852902687
3	-89,074456962	0,00610501	0,02442	-3305,04590433	-0,374881328691
3,5	-88,618035808	0,00610501	0,03663	-3304,51570736	-0,374941476973
4	-88,095877181	0,00610501	0,020757	-3303,65197461	-0,375039504622
4,5	-87,573718554	0,00610501	0,00854701	-3302,51386281	-0,375168750676
5	-86,986356905	0,00610501	0,025641	-3300,90583955	-0,375351512653
5,5	-86,464198278	0,00488401	0,030525	-3299,18504957	-0,375547288614
6	-85,942039651	0,00610501	0,01221	-3297,19025154	-0,375774494487
6,5	-85,420415475	0,00610501	0,023199	-3294,92407312	-0,37603294416
7	-84,898256848	0,00610501	0,03663	-3292,38205875	-0,376323275334
7,5	-84,310895199	0,00610501	0,029304	-3289,19583617	-0,37668781724
8	-83,788736572	0,00610501	0,019536	-3286,07307091	-0,377045784821
8,5	-83,266577945	0,00610501	0,014652	-3282,6773866	-0,377435810494
9	-82,744953769	0,00610501	0,015873	-3279,01295921	-0,377857610023
9,5	-82,48360723	0,00610501	0,030525	-3277,07477669	-0,378081088906
10	-81,961448603	0,00610501	0,021978	-3272,99821732	-0,378551993534
10,5	-81,374086954	0,00610501	0,00732601	-3268,08775826	-0,379120786114
11	-80,9176658	0,00488401	0,034188	-3264,03482755	-0,379591537915
11,5	-80,330304151	0,00610501	0,030525	-3258,51442399	-0,380234621912
12	-79,808145524	0,00488401	0,00976801	-3253,31929487	-0,380841807306
12,5	-79,285986897	0,00610501	0,026862	-3247,853967	-0,381482669045
13	-78,76382827	0,00610501	0,03663	-3242,11889429	-0,382157484163
13,5	-78,503016182	0,00610501	0,034188	-3239,15342442	-0,382507352279
14	-77,980857555	0,00610501	0,018315	-3233,0147721	-0,383233634035
14,5	-77,393495906	0,00610501	0,028083	-3225,78869946	-0,384092113723
15	-76,87187173	0,00610501	0,030525	-3219,087133	-0,384891725141
15,5	-76,349713103	0,00610501	0,026862	-3212,11148154	-0,385727583591
16	-75,827554476	0,00610501	0,035409	-3204,86905378	-0,386599258568
16,5	-75,305395849	0,00610501	0,025641	-3197,36045122	-0,387507138749
17	-74,783237222	0,00610501	0,03663	-3189,58629747	-0,388451631167
17,5	-74,195875573	0,00610501	0,039072	-3180,52481233	-0,389558350621
18	-73,739454419	0,00610501	0,031746	-3173,25257473	-0,390451113116
18,5	-73,412904858	0,00610501	0,037851	-3167,92600397	-0,391107620079
19	-72,890746231	0,00610501	0,047619	-3159,19496899	-0,392188520228
19,5	-72,369122055	0,00610501	0,035409	-3150,21089162	-0,393307001539
20	-71,781760406	0,00488401	0,031746	-3139,78210698	-0,39461337054
20,5	-71,259601779	0,00610501	0,040293	-3130,233937	-0,395817061899
21	-70,737443152	0,00610501	0,031746	-3120,42579091	-0,3970611971
21,5	-70,215284525	0,00488401	0,015873	-3110,3584833	-0,398346366392
22	-69,693660349	0,00610501	0,026862	-3100,0435508	-0,399671804508
22,5	-69,43231381	0,00610501	0,029304	-3094,77884505	-0,400351709131
23	-68,910155183	0,00610501	0,026862	-3084,06746993	-0,401742183684
23,5	-68,388531007	0,00610501	0,019536	-3073,11130933	-0,403174462389
24	-67,86637238	0,00610501	0,01221	-3061,8888222	-0,404652184304
