Vernier Format 2
Bandlücke-Ge2.cmbl 05.11.2009 11:19:28 ,
Latest
Time	Winkel	Pyro	Sample	Wellenlänge	Energie
t	Pot	Pot	Pot	Lambda	E
s	°	V	V	nm	eV

2,5	92,0775491527	0,00610501	0,039072	3303,30439694	0,37507896673
3	91,2944715475	0,00610501	0,019536	3304,63358943	0,374928102154
3,5	90,968189212	0,00610501	0,032967	3305,0052471	0,374885940374
4	90,7071633436	0,00610501	0,032967	3305,22540426	0,374860969664
4,5	90,4461374752	0,00610501	0,020757	3305,37696173	0,374843781616
5	89,9240857384	0,00610501	0,035409	3305,47426643	0,374832747174
5,5	89,66305987	0,00610501	0,019536	3305,42001165	0,374838899636
6	89,4020340016	0,00610501	0,00976801	3305,29715313	0,374852832468
6,5	89,1410081332	0,00610501	0,043956	3305,10569344	0,374874547117
7	88,6189563964	0,00610501	0,00610501	3304,51698782	0,374941331688
7,5	88,357930528	0,00610501	0,028083	3304,11975412	0,374986408545
8	88,0969046596	0,00610501	0,023199	3303,65394367	0,375039281089
8,5	87,5095964557	0,00610501	0,010989	3302,35518883	0,375186777059
9	87,2485705873	0,00610501	0,037851	3301,6665781	0,375265027734
9,5	86,9875447189	0,00488401	0,018315	3300,90944155	0,375351103064
10	86,4654929821	0,00488401	0,020757	3299,18965523	0,37554676435
10,5	86,2044671137	0,00610501	0,026862	3298,22704117	0,375656370691
11	85,9434412453	0,00488401	0,00854701	3297,19597266	0,375773842463
11,5	85,4213895085	0,00610501	0,030525	3294,92855934	0,376032432172
12	85,1603636401	0,00488401	0,021978	3293,69226158	0,376173577128
12,5	84,8993377717	0,00610501	0,013431	3292,38760351	0,376322641563
13	84,5730554362	0,00610501	0,042735	3290,6606906	0,376520132732
13,5	84,0510036994	0,00488401	0,00610501	3287,67568819	0,376861989292
14	83,789977831	0,00610501	0,031746	3286,08081797	0,377044895921
14,5	83,2679260942	0,00610501	0,026862	3282,68650501	0,37743476208
15	83,0069002258	0,00610501	0,017094	3280,88713271	0,377641762695
15,5	82,7458743574	0,00610501	0,034188	3279,01966587	0,377856837182
16	82,4847950439	0,00610501	0,020757	3277,08373996	0,378080054804
16,5	81,9627433071	0,00488401	0,021978	3273,00866156	0,378550785567
17	81,7017174387	0,00488401	0,021978	3270,8692043	0,378798393519
17,5	81,4406915703	0,00610501	0,00854701	3268,66186042	0,37905419799
18	80,9186398335	0,00610501	0,032967	3264,04369742	0,379590506396
18,5	80,592357498	0,00610501	0,00732601	3261,01971401	0,379942505308
19	80,3313316296	0,00610501	0,015873	3258,52438006	0,380233460146
19,5	80,0703057612	0,00610501	0,030525	3255,96141569	0,380532764925
20	79,5482540244	0,00610501	0,00732601	3250,63280988	0,381156553959
20,5	79,287228156	0,00610501	0,039072	3247,86727904	0,381481105462
21	79,0262022876	0,00610501	0,00732601	3245,03433897	0,381814141417
21,5	78,5041505508	0,00610501	0,032967	3239,16646773	0,382505812018
22	78,2431246824	0,00610501	0,021978	3236,13165834	0,382864521845
22,5	77,982098814	0,00610501	0,018315	3233,02968331	0,383231866505
23	77,4600470772	0,00610501	0,021978	3226,62449518	0,383992621965
23,5	77,1990212088	0,00610501	0,026862	3223,32141502	0,384386116204
24	76,9379953404	0,00610501	0,00854701	3219,95143509	0,384788412178
24,5	76,3506871365	0,00610501	0,039072	3212,12474245	0,385725991156
25	76,0896612681	0,00610501	0,00854701	3208,53782846	0,386157205008
25,5	75,8286353997	0,00610501	0,029304	3204,88432152	0,386597416849
26	75,3065836629	0,00610501	0,025641	3197,37783349	0,387505032099
26,5	74,9803013274	0,00610501	0,00976801	3192,55144225	0,388090849094
