Vernier Format 2
Bandlücke-Ge2.cmbl 05.11.2009 11:21:02 ,
Latest
Time	Winkel	Pyro	Sample	Wellenlänge	Energie
t	Pot	Pot	Pot	Lambda	E
s	°	V	V	nm	eV

0	-90,966947953	0,00610501	0,025641	-3305,00645634	-0,37488580321
0,5	-90,444789326	0,00610501	0,017094	-3305,37756642	-0,374843713041
1	-90,183977238	0,00610501	0,025641	-3305,46012715	-0,374834350541
1,5	-89,988368172	0,00610501	0,047619	-3305,4770997	-0,374832425888
2	-89,661818611	0,00610501	0,00732601	-3305,41958976	-0,374838947479
2,5	-89,139659984	0,00610501	0,026862	-3305,10452652	-0,374874679472
3	-86,921153883	0,00488401	0,028083	-3300,70593773	-0,375374245199
3,5	-84,571707287	0,00610501	0,034188	-3290,65333384	-0,3765209745
4	-82,418404208	0,00488401	0,00732601	-3276,58059295	-0,378138112234
4,5	-80,330304151	0,00610501	0,030525	-3258,51442399	-0,380234621912
5	-78,177001072	0,00610501	0,043956	-3235,35220931	-0,382956760143
5,5	-75,827554476	0,00610501	0,020757	-3204,86905378	-0,386599258568
6	-73,609048375	0,00732601	0,020757	-3171,13778625	-0,39071149963
6,5	-71,520413867	0,00732601	0,023199	-3135,03568255	-0,395210812718
7	-69,43231381	0,00854701	0,043956	-3094,77884505	-0,400351709131
7,5	-67,279010731	0,00732601	0,00732601	-3048,9610923	-0,406367927465
8	-64,994767157	0,026862	0,02442	-2995,6521002	-0,413599429626
8,5	-62,776261056	0,0537241	0,034188	-2939,31925097	-0,421526174671
9	-60,688160999	0,046398	0,020757	-2882,2707545	-0,429869400043
9,5	-58,534323469	0,043956	0,017094	-2819,41672639	-0,439452596136
10	-56,120208302	0,0793651	0,015873	-2744,23673188	-0,451491660907
10,5	-54,032108245	0,168498	0,04884	-2675,27557999	-0,463129858197
11	-51,878270715	0,201465	0,026862	-2600,42204803	-0,476461119432
11,5	-49,790170658	0,34188	0,01221	-2524,34427727	-0,490820531556
12	-47,310318018	0,460317	0,025641	-2429,64705753	-0,509950610382
12,5	-45,222217961	0,58486	0,040293	-2346,3728829	-0,528049062035
13	-43,068914882	0,678877	0,010989	-2257,23609246	-0,548901377282
13,5	-40,719468286	0,837607	0,014652	-2156,34776208	-0,574582644687
14	-38,566165207	0,916972	0,045177	-2060,69389167	-0,601253783985
14,5	-36,412327677	0,934066	0,021978	-1962,10497704	-0,631464684357
15	-34,063415532	0,980464	0,013431	-1851,4313047	-0,669211975001
15,5	-31,910112453	1,23443	0,015873	-1747,23611475	-0,709119957825
16	-29,756274923	1,32723	0,043956	-1640,54660955	-0,75523608582
16,5	-27,537768822	1,38217	0,019536	-1528,23190861	-0,810740826064
17	-25,253525248	1,3895	0,015873	-1410,19717269	-0,878600541823
17,5	-23,165425191	1,57631	0,042735	-1300,33237783	-0,952833307182
18	-21,012122112	1,06349	0,026862	-1185,2299407	-1,04536677437
18,5	-18,597472494	0,45177	0,019536	-1054,17451399	-1,17532721913
19	-16,444169415	0,00488401	0,025641	-935,717483549	-1,32411761219
19,5	-14,356069358	0,00610501	0,039072	-819,583703184	-1,51174309004
20	-12,202231828	0,00610501	0,014652	-698,655138692	-1,77340712375
20,5	-9,788116661	0,00610501	0,014652	-561,948037833	-2,20483019173
21	-7,634279131	0,00732601	0,040293	-439,130640785	-2,82148382492
21,5	-5,480976052	0,00488401	0,017094	-315,723462572	-3,92432032104
22	-3,327672973	0,00610501	0,021978	-191,87040148	-6,45748375175
22,5	-1,108632421	0,738706	0,013431	-63,9546320023	-19,3731081113
23	1,175076702	3,24542	0,030525	67,7871381583	18,2778036315
