Dateiname	AbstandOben[mm]	Offset Abstand[mm]	Abstand[mm]	Treiberspannung[V]	FitRangeLower	FitRangeUpper
varDistance/csv/F0000CH1.CSV	3.99E+01	2.08E+00	3.78E+01	5.12E+01	1.00E-06	9.00E-06
varDistance/csv/F0001CH1.CSV	4.20E+01	2.08E+00	3.99E+01	5.12E+01	4.00E-06	1.40E-05
varDistance/csv/F0002CH1.CSV	4.39E+01	2.08E+00	4.19E+01	5.12E+01	7.00E-06	1.90E-05
varDistance/csv/F0003CH1.CSV	4.60E+01	2.08E+00	4.39E+01	5.12E+01	1.30E-05	2.20E-05
varDistance/csv/F0004CH1.CSV	4.80E+01	2.08E+00	4.59E+01	5.12E+01	1.80E-05	2.80E-05
varDistance/csv/F0005CH1.CSV	4.90E+01	2.08E+00	4.69E+01	5.12E+01	1.80E-05	3.00E-05
varDistance/csv/F0006CH1.CSV	4.70E+01	2.08E+00	4.49E+01	5.12E+01	1.50E-05	2.40E-05
varDistance/csv/F0007CH1.CSV	4.50E+01	2.08E+00	4.29E+01	5.12E+01	1.00E-05	2.20E-05
varDistance/csv/F0008CH1.CSV	4.29E+01	2.08E+00	4.09E+01	5.12E+01	5.00E-06	1.80E-05
varDistance/csv/F0009CH1.CSV	4.10E+01	2.08E+00	3.89E+01	5.12E+01	3.00E-06	1.20E-05

