Time,CH A,CH B,
0.E+0,9.9813E-2,-2.3625E-3,
2.50125E-5,1.15813E-1,3.2375E-3,
5.0025E-5,9.9813E-2,-1.5625E-3,
7.50375E-5,1.19813E-1,4.0375E-3,
1.0005E-4,1.03813E-1,-2.3625E-3,
1.25063E-4,1.19813E-1,3.2375E-3,
1.50075E-4,1.03813E-1,-2.3625E-3,
1.75088E-4,1.23813E-1,3.2375E-3,
2.001E-4,1.07813E-1,-1.5625E-3,
2.25113E-4,1.27813E-1,3.2375E-3,
2.50125E-4,1.07813E-1,-3.1625E-3,
2.75138E-4,1.23813E-1,2.4375E-3,
3.0015E-4,1.03813E-1,-2.3625E-3,
3.25163E-4,1.23813E-1,1.6375E-3,
3.50175E-4,1.07813E-1,-2.3625E-3,
3.75188E-4,1.27813E-1,2.4375E-3,
4.002E-4,1.07813E-1,-2.3625E-3,
4.25213E-4,1.23813E-1,1.6375E-3,
4.50225E-4,1.07813E-1,-2.3625E-3,
4.75238E-4,1.23813E-1,3.2375E-3,
5.0025E-4,1.03813E-1,-2.3625E-3,
5.25263E-4,1.27813E-1,2.4375E-3,
5.50275E-4,1.07813E-1,-3.1625E-3,
5.75288E-4,1.27813E-1,2.4375E-3,
6.003E-4,1.07813E-1,-3.1625E-3,
6.25313E-4,1.27813E-1,1.6375E-3,
6.50325E-4,1.11813E-1,-3.9625E-3,
6.75338E-4,1.27813E-1,1.6375E-3,
7.0035E-4,1.11813E-1,-3.1625E-3,
7.25363E-4,1.31813E-1,1.6375E-3,
7.50375E-4,1.11813E-1,-3.1625E-3,
7.75388E-4,1.27813E-1,8.375E-4,
8.004E-4,1.07813E-1,-3.1625E-3,
8.25413E-4,1.27813E-1,2.4375E-3,
8.50425E-4,1.07813E-1,-3.9625E-3,
8.75438E-4,1.23813E-1,1.6375E-3,
9.0045E-4,1.07813E-1,-4.7625E-3,
9.25463E-4,1.23813E-1,8.375E-4,
9.50475E-4,1.07813E-1,-3.9625E-3,
9.75488E-4,1.23813E-1,8.375E-4,
1.0005E-3,1.07813E-1,-3.1625E-3,
1.02551E-3,1.23813E-1,1.6375E-3,
1.05053E-3,1.07813E-1,-3.9625E-3,
1.07554E-3,1.23813E-1,8.375E-4,
1.10055E-3,1.03813E-1,-3.9625E-3,
1.12556E-3,1.19813E-1,8.375E-4,
1.15058E-3,1.03813E-1,-3.1625E-3,
1.17559E-3,1.19813E-1,8.375E-4,
1.2006E-3,1.03813E-1,-4.7625E-3,
1.22561E-3,1.19813E-1,8.375E-4,
1.25063E-3,1.03813E-1,-4.7625E-3,
1.27564E-3,1.19813E-1,3.75E-5,
1.30065E-3,1.07813E-1,-4.7625E-3,
1.32566E-3,1.23813E-1,3.75E-5,
1.35068E-3,1.07813E-1,-4.7625E-3,
1.37569E-3,1.23813E-1,3.75E-5,
1.4007E-3,1.07813E-1,-4.7625E-3,
1.42571E-3,1.19813E-1,3.75E-5,
1.45073E-3,1.03813E-1,-4.7625E-3,
1.47574E-3,1.23813E-1,-7.625E-4,
1.50075E-3,9.9813E-2,-4.7625E-3,
