Time	Velocity
8.212813e+00	1.217610e+01
1.759838e+01	1.065466e+01
2.639856e+01	1.136339e+01
3.402425e+01	1.311357e+01
4.399762e+01	1.002670e+01
5.162406e+01	1.311228e+01
5.925006e+01	1.311303e+01
6.980981e+01	9.469921e+00
7.861062e+01	1.136259e+01
8.564994e+01	1.420593e+01
9.503581e+01	1.065431e+01
1.026626e+02	1.311174e+01
1.108753e+02	1.217619e+01
1.202613e+02	1.065417e+01
1.278882e+02	1.311142e+01
1.366884e+02	1.136339e+01
1.472484e+02	9.469753e+00
1.542879e+02	1.420543e+01
1.619140e+02	1.311293e+01
1.730604e+02	8.971527e+00
1.806869e+02	1.311207e+01
1.900732e+02	1.065388e+01
2.006329e+02	9.469977e+00
2.088462e+02	1.217536e+01
2.158857e+02	1.420555e+01
2.264448e+02	9.470482e+00
2.334850e+02	1.420417e+01
2.416980e+02	1.217582e+01
2.516708e+02	1.002726e+01
2.592967e+02	1.311314e+01
2.680961e+02	1.136444e+01
2.780689e+02	1.002726e+01
2.862822e+02	1.217536e+01
2.944948e+02	1.217647e+01
3.044679e+02	1.002701e+01
3.138552e+02	1.065268e+01
3.208944e+02	1.420606e+01
3.314535e+02	9.470538e+00
3.396666e+02	1.217563e+01
3.472924e+02	1.311346e+01
3.572646e+02	1.002789e+01
3.666509e+02	1.065381e+01
3.772106e+02	9.469921e+00
3.865963e+02	1.065452e+01
3.953955e+02	1.136469e+01
4.047809e+02	1.065488e+01
4.124067e+02	1.311336e+01
4.206185e+02	1.217758e+01
4.305908e+02	1.002776e+01
4.388034e+02	1.217637e+01
4.464291e+02	1.311357e+01
4.605093e+02	7.102178e+00
4.698954e+02	1.065409e+01
4.769345e+02	1.420631e+01
4.857338e+02	1.136452e+01
4.951201e+02	1.065381e+01
5.033332e+02	1.217563e+01
5.109587e+02	1.311400e+01
5.209312e+02	1.002758e+01
5.291438e+02	1.217637e+01
5.367694e+02	1.311368e+01
5.473281e+02	9.470874e+00
5.555408e+02	1.217628e+01
5.631667e+02	1.311325e+01
5.737268e+02	9.469585e+00
5.837000e+02	1.002688e+01
5.966061e+02	7.748297e+00
6.042318e+02	1.311346e+01
6.147914e+02	9.470033e+00
6.253512e+02	9.469865e+00
6.329771e+02	1.311325e+01
6.452977e+02	8.116471e+00
6.546842e+02	1.065367e+01
6.640706e+02	1.065367e+01
6.716968e+02	1.311271e+01
6.816691e+02	1.002783e+01
6.892957e+02	1.311185e+01
6.969212e+02	1.311389e+01
7.063076e+02	1.065381e+01
7.151067e+02	1.136469e+01
7.256663e+02	9.470089e+00
7.368116e+02	8.972382e+00
7.450249e+02	1.217536e+01
7.549981e+02	1.002688e+01
7.649712e+02	1.002701e+01
7.731842e+02	1.217573e+01
7.813968e+02	1.217647e+01
7.913700e+02	1.002688e+01
8.001702e+02	1.136339e+01
8.107294e+02	9.470370e+00
8.212897e+02	9.469417e+00
8.300891e+02	1.136452e+01
8.400615e+02	1.002764e+01
8.482738e+02	1.217684e+01
8.558991e+02	1.311422e+01
8.658714e+02	1.002783e+01
8.734974e+02	1.311303e+01
8.817094e+02	1.217730e+01
8.916821e+02	1.002732e+01
9.004822e+02	1.136347e+01
9.086946e+02	1.217684e+01
9.186665e+02	1.002814e+01
9.268802e+02	1.217480e+01
9.350927e+02	1.217647e+01
9.450650e+02	1.002783e+01
9.538651e+02	1.136356e+01
9.673582e+02	7.411147e+00
9.755707e+02	1.217656e+01
9.855427e+02	1.002808e+01
9.925823e+02	1.420543e+01
1.003141e+03	9.470986e+00
1.010767e+03	1.311217e+01
1.018980e+03	1.217647e+01
1.029539e+03	9.470706e+00
1.037752e+03	1.217536e+01
1.046552e+03	1.136396e+01
1.057112e+03	9.469697e+00
1.066497e+03	1.065523e+01
1.074123e+03	1.311239e+01
1.090550e+03	6.087817e+00
1.099348e+03	1.136501e+01
1.108734e+03	1.065495e+01
1.117533e+03	1.136469e+01
1.125158e+03	1.311422e+01
1.135131e+03	1.002739e+01
1.142170e+03	1.420606e+01
1.152144e+03	1.002670e+01
1.159769e+03	1.311346e+01
1.170328e+03	9.470762e+00
1.178541e+03	1.217610e+01
1.186166e+03	1.311432e+01
1.196725e+03	9.471154e+00
1.204938e+03	1.217563e+01
1.213150e+03	1.217712e+01
1.223708e+03	9.471379e+00
1.232507e+03	1.136469e+01
1.240719e+03	1.217776e+01
1.250690e+03	1.002858e+01
1.258317e+03	1.311207e+01
1.267116e+03	1.136428e+01
1.277089e+03	1.002739e+01
1.287062e+03	1.002695e+01
1.295274e+03	1.217712e+01
1.305833e+03	9.471042e+00
1.314046e+03	1.217563e+01
1.321671e+03	1.311422e+01
1.332230e+03	9.470930e+00
1.341616e+03	1.065374e+01
1.348655e+03	1.420694e+01
1.359801e+03	8.972181e+00
1.367427e+03	1.311314e+01
1.375639e+03	1.217730e+01
1.383851e+03	1.217675e+01
1.400277e+03	6.087886e+00
1.407316e+03	1.420719e+01
1.417875e+03	9.470201e+00
1.426675e+03	1.136388e+01
1.436061e+03	1.065424e+01
1.446620e+03	9.470538e+00
1.454246e+03	1.311217e+01
1.463046e+03	1.136428e+01
1.473604e+03	9.471435e+00
1.481817e+03	1.217582e+01
1.490616e+03	1.136557e+01
1.501174e+03	9.471379e+00
1.508800e+03	1.311303e+01
1.518185e+03	1.065473e+01
1.528157e+03	1.002858e+01
1.539303e+03	8.971678e+00
1.547515e+03	1.217758e+01
1.557487e+03	1.002795e+01
1.565699e+03	1.217656e+01
1.573911e+03	1.217730e+01
1.584471e+03	9.470370e+00
1.592684e+03	1.217591e+01
1.600896e+03	1.217693e+01
1.611455e+03	9.470257e+00
1.620255e+03	1.136339e+01
1.628468e+03	1.217656e+01
1.639027e+03	9.470538e+00
1.647241e+03	1.217471e+01
1.655453e+03	1.217619e+01
1.666600e+03	8.971728e+00
1.674813e+03	1.217526e+01
1.684786e+03	1.002695e+01
1.695346e+03	9.470033e+00
1.703558e+03	1.217619e+01
1.711770e+03	1.217730e+01
1.721743e+03	1.002795e+01
1.729955e+03	1.217647e+01
1.739928e+03	1.002745e+01
1.749900e+03	1.002808e+01
1.758700e+03	1.136356e+01
1.766912e+03	1.217665e+01
1.776884e+03	1.002802e+01
1.785097e+03	1.217554e+01
1.798591e+03	7.411010e+00
1.809149e+03	9.471042e+00
1.817363e+03	1.217526e+01
1.824989e+03	1.311325e+01
1.835548e+03	9.470314e+00
1.843175e+03	1.311185e+01
1.851387e+03	1.217647e+01
1.862533e+03	8.972130e+00
1.871333e+03	1.136307e+01
1.881306e+03	1.002701e+01
1.893039e+03	8.523242e+00
1.901251e+03	1.217675e+01
1.908877e+03	1.311379e+01
1.919436e+03	9.470538e+00
1.928823e+03	1.065317e+01
1.937622e+03	1.136485e+01
1.949354e+03	8.523333e+00
1.958154e+03	1.136388e+01
1.966366e+03	1.217712e+01
1.976925e+03	9.471323e+00
1.985724e+03	1.136380e+01
1.994523e+03	1.136533e+01
2.005082e+03	9.470930e+00
2.013295e+03	1.217582e+01
2.022094e+03	1.136428e+01
2.032653e+03	9.470706e+00
2.040866e+03	1.217665e+01
2.049664e+03	1.136557e+01
2.060223e+03	9.470370e+00
2.069609e+03	1.065402e+01
2.077235e+03	1.311379e+01
2.087793e+03	9.471435e+00
2.096006e+03	1.217619e+01
2.104804e+03	1.136582e+01
2.114776e+03	1.002833e+01
2.124162e+03	1.065346e+01
2.131788e+03	1.311379e+01
2.143520e+03	8.523923e+00
2.152906e+03	1.065353e+01
2.161705e+03	1.136533e+01
2.172851e+03	8.971577e+00
2.181651e+03	1.136436e+01
2.189276e+03	1.311400e+01
2.199248e+03	1.002770e+01
2.208048e+03	1.136420e+01
2.216260e+03	1.217776e+01
2.226232e+03	1.002758e+01
2.235032e+03	1.136428e+01
2.244418e+03	1.065417e+01
