Time	Velocity
1.114725e+01	8.970822e+00
1.994856e+01	1.136194e+01
3.051050e+01	9.467960e+00
4.400594e+01	7.409912e+00
5.515387e+01	8.970269e+00
6.454188e+01	1.065190e+01
7.334244e+01	1.136291e+01
8.507663e+01	8.522107e+00
9.387656e+01	1.136372e+01
1.020896e+02	1.217573e+01
1.138239e+02	8.522061e+00
1.237981e+02	1.002588e+01
1.320112e+02	1.217563e+01
1.431578e+02	8.971325e+00
1.513713e+02	1.217517e+01
1.601711e+02	1.136388e+01
1.719039e+02	8.523060e+00
1.807046e+02	1.136283e+01
1.889178e+02	1.217545e+01
2.000652e+02	8.970722e+00
2.088660e+02	1.136259e+01
2.164928e+02	1.311174e+01
2.282271e+02	8.522016e+00
2.376143e+02	1.065275e+01
2.458279e+02	1.217489e+01
2.563891e+02	9.468688e+00
2.651896e+02	1.136299e+01
2.734034e+02	1.217461e+01
2.857249e+02	8.115854e+00
2.951129e+02	1.065197e+01
3.039133e+02	1.136307e+01
3.150605e+02	8.970873e+00
3.238611e+02	1.136291e+01
3.314875e+02	1.311228e+01
3.426343e+02	8.971225e+00
3.514348e+02	1.136291e+01
3.602348e+02	1.136364e+01
3.707953e+02	9.469305e+00
3.790093e+02	1.217434e+01
3.878094e+02	1.136339e+01
3.983699e+02	9.469249e+00
4.065839e+02	1.217443e+01
4.153837e+02	1.136380e+01
4.259439e+02	9.469585e+00
4.347444e+02	1.136291e+01
4.429577e+02	1.217545e+01
4.541043e+02	8.971325e+00
4.629047e+02	1.136315e+01
4.711177e+02	1.217582e+01
4.828512e+02	8.522606e+00
4.922378e+02	1.065353e+01
5.004510e+02	1.217545e+01
5.115979e+02	8.971074e+00
5.203979e+02	1.136372e+01
5.286109e+02	1.217573e+01
5.397578e+02	8.971124e+00
5.485580e+02	1.136339e+01
5.573583e+02	1.136323e+01
5.679190e+02	9.469080e+00
5.767193e+02	1.136323e+01
5.861061e+02	1.065331e+01
5.966664e+02	9.469417e+00
6.048793e+02	1.217591e+01
6.125057e+02	1.311228e+01
6.236526e+02	8.971174e+00
6.324526e+02	1.136356e+01
6.412526e+02	1.136372e+01
6.518133e+02	9.469024e+00
6.606134e+02	1.136347e+01
6.694137e+02	1.136323e+01
6.793871e+02	1.002670e+01
6.876001e+02	1.217591e+01
6.975732e+02	1.002695e+01
7.081335e+02	9.469417e+00
7.163463e+02	1.217610e+01
7.263195e+02	1.002688e+01
7.380523e+02	8.523106e+00
7.468523e+02	1.136364e+01
7.550650e+02	1.217628e+01
7.656246e+02	9.470089e+00
7.744244e+02	1.136388e+01
7.838111e+02	1.065339e+01
7.949577e+02	8.971325e+00
8.031705e+02	1.217610e+01
8.125567e+02	1.065388e+01
8.231164e+02	9.470033e+00
8.313290e+02	1.217637e+01
8.401284e+02	1.136444e+01
8.512751e+02	8.971275e+00
8.606617e+02	1.065346e+01
8.688739e+02	1.217702e+01
8.806068e+02	8.523015e+00
8.899936e+02	1.065331e+01
8.982064e+02	1.217610e+01
9.099394e+02	8.522969e+00
9.193254e+02	1.065417e+01
9.287117e+02	1.065381e+01
9.392717e+02	9.469641e+00
9.480714e+02	1.136404e+01
9.562845e+02	1.217573e+01
9.674317e+02	8.970822e+00
9.768187e+02	1.065303e+01
9.856183e+02	1.136420e+01
9.967647e+02	8.971527e+00
1.005565e+03	1.136315e+01
1.014364e+03	1.136460e+01
1.024924e+03	9.470201e+00
1.033724e+03	1.136331e+01
1.041350e+03	1.311250e+01
1.052497e+03	8.971527e+00
1.061297e+03	1.136356e+01
1.069510e+03	1.217591e+01
1.080656e+03	8.971577e+00
1.089456e+03	1.136404e+01
1.098255e+03	1.136404e+01
1.109402e+03	8.971024e+00
1.118202e+03	1.136388e+01
1.127002e+03	1.136372e+01
1.138149e+03	8.971124e+00
1.146949e+03	1.136396e+01
1.155748e+03	1.136428e+01
1.166308e+03	9.469529e+00
1.175108e+03	1.136356e+01
1.183909e+03	1.136331e+01
1.194469e+03	9.469305e+00
1.202682e+03	1.217536e+01
1.212656e+03	1.002638e+01
1.223803e+03	8.971174e+00
1.232603e+03	1.136323e+01
1.240816e+03	1.217619e+01
1.251962e+03	8.972030e+00
1.260175e+03	1.217517e+01
1.269562e+03	1.065331e+01
1.280709e+03	8.971074e+00
1.288922e+03	1.217563e+01
1.297722e+03	1.136404e+01
1.308869e+03	8.971124e+00
1.317669e+03	1.136372e+01
1.327055e+03	1.065353e+01
1.338202e+03	8.970873e+00
1.347002e+03	1.136412e+01
1.355215e+03	1.217573e+01
1.366949e+03	8.522425e+00
1.375162e+03	1.217573e+01
1.385722e+03	9.469809e+00
1.396868e+03	8.971577e+00
1.405082e+03	1.217498e+01
1.413881e+03	1.136404e+01
1.424441e+03	9.469921e+00
1.432068e+03	1.311153e+01
1.440868e+03	1.136404e+01
1.451428e+03	9.469417e+00
1.459642e+03	1.217461e+01
1.468442e+03	1.136356e+01
1.480176e+03	8.522334e+00
1.489562e+03	1.065353e+01
1.498362e+03	1.136404e+01
1.509508e+03	8.971325e+00
1.518308e+03	1.136396e+01
1.527695e+03	1.065317e+01
1.538255e+03	9.469697e+00
1.546468e+03	1.217628e+01
1.555854e+03	1.065431e+01
1.566413e+03	9.470314e+00
1.574625e+03	1.217684e+01
1.583424e+03	1.136477e+01
1.593984e+03	9.470201e+00
1.602784e+03	1.136404e+01
1.611583e+03	1.136428e+01
1.622730e+03	8.971376e+00
1.631530e+03	1.136315e+01
1.640330e+03	1.136364e+01
1.650889e+03	9.470370e+00
1.659103e+03	1.217536e+01
1.668489e+03	1.065346e+01
1.679636e+03	8.971376e+00
1.688436e+03	1.136315e+01
1.697236e+03	1.136364e+01
1.708383e+03	8.971376e+00
1.717183e+03	1.136323e+01
1.725396e+03	1.217610e+01
1.737129e+03	8.522742e+00
1.745342e+03	1.217536e+01
1.753555e+03	1.217619e+01
1.764701e+03	8.971778e+00
1.773502e+03	1.136307e+01
1.784062e+03	9.469080e+00
1.794623e+03	9.469361e+00
1.802836e+03	1.217526e+01
1.812223e+03	1.065303e+01
1.823370e+03	8.971024e+00
1.831583e+03	1.217573e+01
1.840383e+03	1.136396e+01
1.851530e+03	8.971225e+00
1.859742e+03	1.217610e+01
1.868542e+03	1.136372e+01
1.879103e+03	9.469473e+00
1.887316e+03	1.217554e+01
1.896116e+03	1.136396e+01
1.907263e+03	8.970822e+00
1.915476e+03	1.217600e+01
1.924276e+03	1.136372e+01
1.935423e+03	8.971024e+00
1.944222e+03	1.136388e+01
1.952436e+03	1.217573e+01
1.963583e+03	8.970973e+00
1.972383e+03	1.136356e+01
1.981183e+03	1.136364e+01
1.992917e+03	8.522107e+00
2.001717e+03	1.136339e+01
2.010517e+03	1.136331e+01
2.022252e+03	8.521744e+00
2.031052e+03	1.136323e+01
2.039852e+03	1.136412e+01
2.050412e+03	9.469753e+00
2.058039e+03	1.311164e+01
2.066838e+03	1.136412e+01
2.079746e+03	7.747396e+00
2.089719e+03	1.002657e+01
2.097932e+03	1.217647e+01
2.110839e+03	7.747959e+00
2.120812e+03	1.002644e+01
2.129612e+03	1.136428e+01
2.140758e+03	8.971376e+00
2.148972e+03	1.217517e+01
2.163639e+03	6.818027e+00
2.171851e+03	1.217610e+01
2.182998e+03	8.971225e+00
2.191211e+03	1.217665e+01
2.200010e+03	1.136428e+01
2.211156e+03	8.971577e+00
2.219370e+03	1.217573e+01
2.229343e+03	1.002688e+01
2.240489e+03	8.971275e+00
2.249289e+03	1.136356e+01
2.258089e+03	1.136412e+01
2.268648e+03	9.470538e+00
2.276861e+03	1.217545e+01
2.285074e+03	1.217665e+01
2.296807e+03	8.522924e+00
2.306193e+03	1.065374e+01
2.314406e+03	1.217582e+01
2.325553e+03	8.971426e+00
2.334353e+03	1.136396e+01
2.342566e+03	1.217582e+01
2.353712e+03	8.971124e+00
2.362512e+03	1.136412e+01
2.371898e+03	1.065374e+01
2.382458e+03	9.470089e+00
2.390671e+03	1.217573e+01
2.398297e+03	1.311239e+01
2.410032e+03	8.522061e+00
2.418832e+03	1.136356e+01
2.428218e+03	1.065353e+01
2.438778e+03	9.469809e+00
2.446992e+03	1.217461e+01
2.455205e+03	1.217591e+01
2.467525e+03	8.116677e+00
2.476912e+03	1.065324e+01
2.484539e+03	1.311217e+01
2.495685e+03	8.971124e+00
2.503898e+03	1.217573e+01
2.513285e+03	1.065360e+01
2.523845e+03	9.469529e+00
2.532058e+03	1.217610e+01
2.540858e+03	1.136396e+01
2.552004e+03	8.971426e+00
2.559631e+03	1.311250e+01
2.568430e+03	1.136428e+01
2.580164e+03	8.522515e+00
2.588963e+03	1.136388e+01
2.597764e+03	1.136339e+01
2.607737e+03	1.002676e+01
2.616537e+03	1.136372e+01
2.625337e+03	1.136372e+01
2.635897e+03	9.469697e+00
2.644110e+03	1.217610e+01
2.652323e+03	1.217554e+01
2.662883e+03	9.469753e+00
2.671096e+03	1.217591e+01
2.680482e+03	1.065402e+01
2.692215e+03	8.522924e+00
2.700428e+03	1.217554e+01
2.709228e+03	1.136388e+01
2.720961e+03	8.522652e+00
2.729175e+03	1.217498e+01
2.736801e+03	1.311217e+01
2.747361e+03	9.469865e+00
2.756161e+03	1.136339e+01
2.764374e+03	1.217591e+01
2.776108e+03	8.522788e+00
2.784907e+03	1.136388e+01
2.793120e+03	1.217591e+01
2.804268e+03	8.970772e+00
2.812481e+03	1.217536e+01
2.821281e+03	1.136347e+01
2.831255e+03	1.002644e+01
2.840055e+03	1.136339e+01
2.848268e+03	1.217573e+01
2.858829e+03	9.469080e+00
2.867042e+03	1.217591e+01
2.875255e+03	1.217563e+01
2.886402e+03	8.971074e+00
2.895202e+03	1.136356e+01
2.905762e+03	9.469753e+00
2.916321e+03	9.469921e+00
2.925122e+03	1.136323e+01
2.932161e+03	1.420518e+01
2.942721e+03	9.470145e+00
2.951521e+03	1.136331e+01
2.959734e+03	1.217591e+01
2.970295e+03	9.469305e+00
2.979095e+03	1.136275e+01
2.987309e+03	1.217517e+01
2.997869e+03	9.469641e+00
3.006083e+03	1.217434e+01
3.014296e+03	1.217536e+01
3.024856e+03	9.469809e+00
3.033656e+03	1.136291e+01
3.041870e+03	1.217545e+01
3.052430e+03	9.469697e+00
3.061816e+03	1.065331e+01
3.070030e+03	1.217573e+01
3.081177e+03	8.970772e+00
3.089390e+03	1.217536e+01
3.097604e+03	1.217489e+01
3.109338e+03	8.521744e+00
3.118726e+03	1.065232e+01
3.127526e+03	1.136364e+01
3.137500e+03	1.002594e+01
3.146888e+03	1.065218e+01
3.154515e+03	1.311164e+01
3.165662e+03	8.970873e+00
3.173876e+03	1.217443e+01
3.182676e+03	1.136364e+01
3.193236e+03	9.469529e+00
3.201450e+03	1.217461e+01
3.210250e+03	1.136364e+01
3.221396e+03	8.971376e+00
3.229023e+03	1.311228e+01
3.237823e+03	1.136396e+01
3.248970e+03	8.970873e+00
3.257184e+03	1.217424e+01
3.265984e+03	1.136307e+01
3.276545e+03	9.469080e+00
3.285345e+03	1.136356e+01
3.293558e+03	1.217591e+01
3.304706e+03	8.970571e+00
3.314092e+03	1.065324e+01
3.322306e+03	1.217536e+01
3.333452e+03	8.971627e+00
3.341666e+03	1.217452e+01
3.349879e+03	1.217563e+01
3.360439e+03	9.469753e+00
3.368653e+03	1.217461e+01
3.377453e+03	1.136315e+01
3.388600e+03	8.970822e+00
3.397987e+03	1.065303e+01
3.406787e+03	1.136356e+01
3.417348e+03	9.469080e+00
3.426149e+03	1.136283e+01
3.436710e+03	9.468744e+00
3.446683e+03	1.002670e+01
3.454896e+03	1.217545e+01
3.463110e+03	1.217517e+01
3.473670e+03	9.469641e+00
3.481883e+03	1.217573e+01
3.490096e+03	1.217563e+01
3.500656e+03	9.469473e+00
3.508870e+03	1.217526e+01
3.517669e+03	1.136412e+01
3.528229e+03	9.469585e+00
3.535857e+03	1.311121e+01
3.546418e+03	9.468464e+00
3.556979e+03	9.468968e+00
3.564606e+03	1.311164e+01
3.573405e+03	1.136396e+01
3.585139e+03	8.522470e+00
3.593352e+03	1.217619e+01
3.602152e+03	1.136396e+01
3.612712e+03	9.469697e+00
3.621512e+03	1.136307e+01
