Vernier Format 2
Bandlücke-Ge2.cmbl 05.11.2009 11:00:23 ,
Latest
Time	Winkel	Pyro	Sample	Wellenlänge	Energie
t	Pot	Pot	Pot	Lambda	E
s	°	V	V	nm	eV

0	34,325468879	0,973138	0,338217	1863,9361208	0,664722350823
0,5	34,260265857	0,967033	0,334554	1860,82835823	0,665832501165
1	34,260265857	0,960928	0,327228	1860,82835823	0,665832501165
1,5	34,260265857	0,973138	0,327228	1860,82835823	0,665832501165
2	34,260265857	0,968254	0,334554	1860,82835823	0,665832501165
2,5	34,260265857	0,962149	0,32967	1860,82835823	0,665832501165
3	34,325468879	0,960928	0,318681	1863,9361208	0,664722350823
3,5	34,260265857	0,97558	0,34188	1860,82835823	0,665832501165
4	34,260265857	0,973138	0,339438	1860,82835823	0,665832501165
4,5	34,260265857	0,974359	0,330891	1860,82835823	0,665832501165
5	34,325468879	0,970696	0,340659	1863,9361208	0,664722350823
5,5	34,325468879	0,973138	0,350427	1863,9361208	0,664722350823
6	34,325468879	0,974359	0,34188	1863,9361208	0,664722350823
6,5	34,260265857	0,976801	0,347985	1860,82835823	0,665832501165
7	34,325468879	0,981685	0,351648	1863,9361208	0,664722350823
7,5	34,260265857	0,971917	0,345543	1860,82835823	0,665832501165
8	34,260265857	0,978022	0,334554	1860,82835823	0,665832501165
8,5	34,260265857	0,971917	0,35409	1860,82835823	0,665832501165
9	34,325468879	0,980464	0,343101	1863,9361208	0,664722350823
9,5	34,260265857	0,957265	0,327228	1860,82835823	0,665832501165
10	34,325468879	0,970696	0,333333	1863,9361208	0,664722350823
10,5	34,260265857	0,962149	0,340659	1860,82835823	0,665832501165
11	34,325468879	0,965812	0,319902	1863,9361208	0,664722350823
11,5	34,325468879	0,965812	0,335775	1863,9361208	0,664722350823
12	34,325468879	0,971917	0,344322	1863,9361208	0,664722350823
12,5	34,325468879	0,96337	0,343101	1863,9361208	0,664722350823
13	34,325468879	0,962149	0,32967	1863,9361208	0,664722350823
13,5	34,325468879	0,969475	0,345543	1863,9361208	0,664722350823
14	34,325468879	0,976801	0,349206	1863,9361208	0,664722350823
14,5	34,260265857	0,97558	0,332112	1860,82835823	0,665832501165
15	34,325468879	0,97558	0,344322	1863,9361208	0,664722350823
15,5	34,260265857	0,974359	0,351648	1860,82835823	0,665832501165
16	34,325468879	0,96337	0,340659	1863,9361208	0,664722350823
16,5	34,325468879	0,973138	0,338217	1863,9361208	0,664722350823
17	34,325468879	0,971917	0,352869	1863,9361208	0,664722350823
17,5	34,325468879	0,968254	0,330891	1863,9361208	0,664722350823
18	34,325468879	0,976801	0,330891	1863,9361208	0,664722350823
18,5	34,325468879	0,962149	0,338217	1863,9361208	0,664722350823
19	34,325468879	0,959707	0,330891	1863,9361208	0,664722350823
19,5	34,325468879	0,970696	0,318681	1863,9361208	0,664722350823
20	34,325468879	0,97558	0,34188	1863,9361208	0,664722350823
20,5	34,325468879	0,960928	0,344322	1863,9361208	0,664722350823
21	34,325468879	0,969475	0,330891	1863,9361208	0,664722350823
21,5	34,325468879	0,968254	0,34188	1863,9361208	0,664722350823
22	34,260265857	0,967033	0,355311	1860,82835823	0,665832501165
22,5	34,260265857	0,968254	0,343101	1860,82835823	0,665832501165
23	34,325468879	0,974359	0,347985	1863,9361208	0,664722350823
23,5	34,325468879	0,973138	0,361416	1863,9361208	0,664722350823
24	34,325468879	0,974359	0,347985	1863,9361208	0,664722350823
24,5	34,325468879	0,981685	0,335775	1863,9361208	0,664722350823
25	34,325468879	0,96337	0,349206	1863,9361208	0,664722350823
25,5	34,325468879	0,970696	0,335775	1863,9361208	0,664722350823
