Vernier Format 2
Bandlücke-Ge2.cmbl 05.11.2009 10:47:19 ,
Latest
Time	Winkel	Pyro	Sample	Wellenlänge	Energie
t	Pot	Pot	Pot	Lambda	E
s	°	V	V	nm	eV

0	-90,183977238	0,00610501	0,029304	-3305,46012715	-0,374834350541
0,5	-90,24918026	0,00610501	0,025641	-3305,44590807	-0,374835962971
1	-90,183977238	0,00610501	0,021978	-3305,46012715	-0,374834350541
1,5	-90,24918026	0,00610501	0,023199	-3305,44590807	-0,374835962971
2	-90,24918026	0,00610501	0,013431	-3305,44590807	-0,374835962971
2,5	-90,24918026	0,00610501	0,026862	-3305,44590807	-0,374835962971
3	-89,92316515	0,00610501	0,020757	-3305,47419564	-0,374832755202
3,5	-89,727021633	0,00610501	0,028083	-3305,43965199	-0,374836672409
4	-89,401006523	0,00610501	0,032967	-3305,29653397	-0,374852902687
4,5	-88,878847896	0,00610501	0,025641	-3304,84435668	-0,374904191024
5	-88,618035808	0,00610501	0,025641	-3304,51570736	-0,374941476973
5,5	-88,161080203	0,00610501	0,028083	-3303,77482432	-0,375025558909
6	-87,76932762	0,00610501	0,00732601	-3302,972353	-0,375116672979
6,5	-87,638921576	0,00610501	0,01221	-3302,6709701	-0,375150903986
7	-86,986356905	0,00610501	0,015873	-3300,90583955	-0,375351512653
7,5	-86,725544817	0,00610501	0,021978	-3300,08058565	-0,375445377118
8	-86,20338619	0,00610501	0,029304	-3298,22291258	-0,375656840923
8,5	-85,942039651	0,00610501	0,028083	-3297,19025154	-0,375774494487
9	-85,681227563	0,00610501	0,020757	-3296,09131138	-0,375899780362
9,5	-85,159068936	0,00610501	0,026862	-3293,68595907	-0,376174296941
10	-84,898256848	0,00610501	0,013431	-3292,38205875	-0,376323275334
10,5	-84,376098221	0,00488401	0,00732601	-3289,56660134	-0,376645360971
11	-84,050083111	0,00610501	0,01221	-3287,67018327	-0,376862620315
11,5	-83,593127506	0,00488401	0,00732601	-3284,8329476	-0,377188130954
12	-83,266577945	0,00610501	0,017094	-3282,6773866	-0,377435810494
12,5	-83,070968879	0,00610501	0,025641	-3281,33509479	-0,377590207708
13	-82,48360723	0,00610501	0,023199	-3277,07477669	-0,378081088906
13,5	-82,222795142	0,00610501	0,029304	-3275,07258407	-0,378312226124
14	-81,635433493	0,00610501	0,018315	-3270,31510841	-0,378862574073
14,5	-81,439824427	0,00610501	0,00610501	-3268,65441441	-0,379055061477
15	-81,113274866	0,00610501	0,01221	-3265,79717576	-0,379386695902
15,5	-80,656319261	0,00610501	0,00976801	-3261,62084805	-0,379872479886
16	-80,330304151	0,00610501	0,00732601	-3258,51442399	-0,380234621912
16,5	-79,873348546	0,00610501	0,019536	-3253,98279391	-0,380764152262
17	-79,547333436	0,00610501	0,018315	-3250,6231749	-0,381157683723
17,5	-79,351189919	0,00610501	0,010989	-3248,55118197	-0,381400793952
18	-78,698625248	0,00610501	0,032967	-3241,38382255	-0,382244148743
18,5	-78,503016182	0,00610501	0,026862	-3239,15342442	-0,382507352279
19	-77,980857555	0,00610501	0,017094	-3233,0147721	-0,383233634035
19,5	-77,720045467	0,00610501	0,030525	-3229,84800003	-0,383609383472
20	-77,19788684	0,00610501	0,015873	-3223,30691442	-0,384387845432
20,5	-76,937074752	0,00610501	0,01221	-3219,93943151	-0,384789846627
21	-76,610525191	0,00610501	0,018315	-3215,62912106	-0,385305628652
21,5	-76,153569586	0,00610501	0,010989	-3209,42219032	-0,386050798719
22	-75,827554476	0,00610501	0,015873	-3204,86905378	-0,386599258568
22,5	-75,305395849	0,00488401	0,023199	-3197,36045122	-0,387507138749
