Vernier Format 2
Bandlücke-Ge2.cmbl 05.11.2009 11:05:47 ,
Latest
Time	Winkel	Pyro	Sample	Wellenlänge	Energie
t	Pot	Pot	Pot	Lambda	E
s	°	V	V	nm	eV

0	90,2503680739	0,00610501	0,039072	3305,44560934	0,374835996847
0,5	90,1851116068	0,00610501	0,035409	3305,45991636	0,374834374444
1	90,1851116068	0,00610501	0,032967	3305,45991636	0,374834374444
1,5	90,1851116068	0,00610501	0,02442	3305,45991636	0,374834374444
2	90,4461374752	0,00610501	0,039072	3305,37696173	0,374843781616
2,5	90,7071633436	0,00610501	0,040293	3305,22540426	0,374860969664
3	91,2292150804	0,00610501	0,03663	3304,71649482	0,374918696337
3,5	91,5554974159	0,00610501	0,032967	3304,25910184	0,374970594561
4	91,5554974159	0,00610501	0,0512821	3304,25910184	0,374970594561
4,5	91,4902409488	0,00610501	0,042735	3304,35915341	0,374959240954
5	91,5554974159	0,00488401	0,021978	3304,25910184	0,374970594561
5,5	91,2292150804	0,00610501	0,02442	3304,71649482	0,374918696337
6	90,968189212	0,00610501	0,031746	3305,0052471	0,374885940374
6,5	90,7071633436	0,00610501	0,028083	3305,22540426	0,374860969664
7	90,4461374752	0,00610501	0,032967	3305,37696173	0,374843781616
7,5	89,9240857384	0,00610501	0,03663	3305,47426643	0,374832747174
8	89,66305987	0,00610501	0,03663	3305,42001165	0,374838899636
8,5	89,4020340016	0,00610501	0,023199	3305,29715313	0,374852832468
9	89,0757516661	0,00488401	0,025641	3305,04711001	0,374881191934
9,5	88,6189563964	0,00610501	0,023199	3304,51698782	0,374941331688
10	88,357930528	0,00610501	0,017094	3304,11975412	0,374986408545
10,5	88,0969046596	0,00610501	0,019536	3303,65394367	0,375039281089
11	87,5095964557	0,00610501	0,029304	3302,35518883	0,375186777059
11,5	87,2485705873	0,00610501	0,037851	3301,6665781	0,375265027734
12	87,052801186	0,00610501	0,021978	3301,10514915	0,375328850194
12,5	86,4654929821	0,00610501	0,021978	3299,18965523	0,37554676435
13	86,2044671137	0,00610501	0,019536	3298,22704117	0,375656370691
13,5	85,9434412453	0,00610501	0,021978	3297,19597266	0,375773842463
14	85,4213895085	0,00610501	0,01221	3294,92855934	0,376032432172
14,5	85,1603636401	0,00610501	0,028083	3293,69226158	0,376173577128
15	84,8993377717	0,00610501	0,029304	3292,38760351	0,376322641563
15,5	84,3772860349	0,00610501	0,021978	3289,57331612	0,376644592151
16	84,1162601665	0,00610501	0,014652	3288,06374522	0,37681751207
16,5	83,789977831	0,00610501	0,020757	3286,08081797	0,377044895921
17	83,2679260942	0,00488401	0,013431	3282,68650501	0,37743476208
17,5	83,0069002258	0,00610501	0,017094	3280,88713271	0,377641762695
18	82,7458743574	0,00610501	0,029304	3279,01966587	0,377856837182
18,5	82,2237691755	0,00610501	0,037851	3275,08018777	0,378311347803
19	81,9627433071	0,00488401	0,020757	3273,00866156	0,378550785567
19,5	81,6364609716	0,00610501	0,020757	3270,32373094	0,378861575164
20	81,1796657019	0,00610501	0,019536	3266,38667572	0,379318226226
20,5	80,9186398335	0,00610501	0,013431	3264,04369742	0,379590506396
21	80,6576139651	0,00610501	0,015873	3261,63297415	0,379871067597
21,5	80,0703057612	0,00610501	0,026862	3255,96141569	0,380532764925
22	79,8092798928	0,00610501	0,029304	3253,3308741	0,380840451817
22,5	79,5482540244	0,00610501	0,015873	3250,63280988	0,381156553959
23	79,0262022876	0,00610501	0,013431	3245,03433897	0,381814141417
23,5	78,7651764192	0,00488401	0,021978	3242,13404846	0,382155697907
24	78,5041505508	0,00610501	0,013431	3239,16646773	0,382505812018
