Vernier Format 2
Bandlücke-Ge2.cmbl 05.11.2009 11:28:54 ,
Latest
Time	Winkel	Pyro	Sample	Wellenlänge	Energie
t	Pot	Pot	Pot	Lambda	E
s	°	V	V	nm	eV

0	90,7071633436	0,00610501	0,00976801	3305,22540426	0,374860969664
0,5	90,4461374752	0,00610501	0,00854701	3305,37696173	0,374843781616
1	90,1851116068	0,00610501	0,00976801	3305,45991636	0,374834374444
1,5	89,9240857384	0,00488401	0,029304	3305,47426643	0,374832747174
2	89,66305987	0,00610501	0,025641	3305,42001165	0,374838899636
2,5	89,4020340016	0,00488401	0,034188	3305,29715313	0,374852832468
3	88,8799822648	0,00610501	0,00732601	3304,84563653	0,374904045836
3,5	88,6189563964	0,00610501	0,010989	3304,51698782	0,374941331688
4	88,357930528	0,00610501	0,026862	3304,11975412	0,374986408545
4,5	88,0969046596	0,00610501	0,026862	3303,65394367	0,375039281089
5	87,5095964557	0,00610501	0,014652	3302,35518883	0,375186777059
5,5	87,2485705873	0,00610501	0,00610501	3301,6665781	0,375265027734
6	86,9875447189	0,00610501	0,014652	3300,90944155	0,375351103064
6,5	86,7265188505	0,00610501	0,02442	3300,08379488	0,375445012009
7	86,4654929821	0,00488401	0,025641	3299,18965523	0,37554676435
7,5	85,9434412453	0,00610501	0,020757	3297,19597266	0,375773842463
8	85,6824153769	0,00488401	0,00610501	3296,09647111	0,375899191926
8,5	85,4213895085	0,00610501	0,017094	3294,92855934	0,376032432172
9	85,1603636401	0,00610501	0,018315	3293,69226158	0,376173577128
9,5	84,8993377717	0,00610501	0,026862	3292,38760351	0,376322641563
10	84,3772860349	0,00610501	0,021978	3289,57331612	0,376644592151
10,5	84,0510036994	0,00488401	0,00732601	3287,67568819	0,376861989292
11	83,789977831	0,00610501	0,019536	3286,08081797	0,377044895921
11,5	83,5289519626	0,00610501	0,00732601	3284,41774541	0,377235813481
12	83,0069002258	0,00610501	0,045177	3280,88713271	0,377641762695
12,5	82,7458743574	0,00610501	0,028083	3279,01966587	0,377856837182
13	82,4847950439	0,00610501	0,00732601	3277,08373996	0,378080054804
13,5	82,2237691755	0,00610501	0,013431	3275,08018777	0,378311347803
14	81,7017174387	0,00610501	0,00732601	3270,8692043	0,378798393519
14,5	81,4406915703	0,00610501	0,034188	3268,66186042	0,37905419799
15	81,1796657019	0,00610501	0,026862	3266,38667572	0,379318226226
15,5	80,9186398335	0,00610501	0,00976801	3264,04369742	0,379590506396
16	80,3965880967	0,00610501	0,017094	3259,15455595	0,380159939865
16,5	80,0703057612	0,00610501	0,00610501	3255,96141569	0,380532764925
17	79,8092798928	0,00610501	0,013431	3253,3308741	0,380840451817
17,5	79,5482540244	0,00610501	0,030525	3250,63280988	0,381156553959
18	79,0262022876	0,00610501	0,025641	3245,03433897	0,381814141417
18,5	78,7651764192	0,00610501	0,040293	3242,13404846	0,382155697907
19	78,5041505508	0,00610501	0,00976801	3239,16646773	0,382505812018
19,5	78,2431246824	0,00610501	0,00854701	3236,13165834	0,382864521845
20	77,7210729456	0,00610501	0,010989	3229,86060699	0,383607886148
20,5	77,4600470772	0,00610501	0,00976801	3226,62449518	0,383992621965
21	77,1990212088	0,00610501	0,032967	3223,32141502	0,384386116204
21,5	76,676969472	0,00610501	0,025641	3216,51462532	0,385199554277
22	76,3506871365	0,00610501	0,010989	3212,12474245	0,385725991156
22,5	76,0896612681	0,00610501	0,02442	3208,53782846	0,386157205008
23	75,8286353997	0,00610501	0,00610501	3204,88432152	0,386597416849
23,5	75,3065836629	0,00610501	0,013431	3197,37783349	0,387505032099
24	75,0455577945	0,00610501	0,01221	3193,52500819	0,387972537187
