x[cm]	B[T]	sx[cm]	sB[T]
1.175E+01	3.595E-01	5.000E-02	3.595E-03
1.143E+01	4.070E-01	5.000E-02	4.070E-03
1.115E+01	4.255E-01	5.000E-02	4.255E-03
1.085E+01	4.315E-01	5.000E-02	4.315E-03
1.055E+01	4.345E-01	5.000E-02	4.345E-03
1.025E+01	4.350E-01	5.000E-02	4.350E-03
1.005E+01	4.350E-01	5.000E-02	4.350E-03
9.750E+00	4.350E-01	5.000E-02	4.350E-03
9.450E+00	4.350E-01	5.000E-02	4.350E-03
9.150E+00	4.350E-01	5.000E-02	4.350E-03
8.850E+00	4.350E-01	5.000E-02	4.350E-03
8.550E+00	4.350E-01	5.000E-02	4.350E-03
8.250E+00	4.350E-01	5.000E-02	4.350E-03
7.950E+00	4.350E-01	5.000E-02	4.350E-03
7.650E+00	4.350E-01	5.000E-02	4.350E-03
7.350E+00	4.350E-01	5.000E-02	4.350E-03
7.050E+00	4.350E-01	5.000E-02	4.350E-03
6.750E+00	4.350E-01	5.000E-02	4.350E-03
6.450E+00	4.345E-01	5.000E-02	4.345E-03
6.150E+00	4.345E-01	5.000E-02	4.345E-03
5.850E+00	4.345E-01	5.000E-02	4.345E-03
5.550E+00	4.340E-01	5.000E-02	4.340E-03
5.250E+00	4.325E-01	5.000E-02	4.325E-03
4.850E+00	4.255E-01	5.000E-02	4.255E-03
4.550E+00	4.070E-01	5.000E-02	4.070E-03
4.150E+00	3.405E-01	5.000E-02	3.405E-03
