y[cm]	B[T]	sx[cm]	sB[t]
1.185E+01	3.810E-01	5.000E-02	1.185E-01
1.215E+01	4.140E-01	5.000E-02	1.215E-01
1.245E+01	4.280E-01	5.000E-02	1.245E-01
1.275E+01	4.335E-01	5.000E-02	1.275E-01
1.305E+01	4.350E-01	5.000E-02	1.305E-01
1.335E+01	4.350E-01	5.000E-02	1.335E-01
1.365E+01	4.350E-01	5.000E-02	1.365E-01
1.395E+01	4.350E-01	5.000E-02	1.395E-01
1.425E+01	4.350E-01	5.000E-02	1.425E-01
1.455E+01	4.350E-01	5.000E-02	1.455E-01
1.485E+01	4.350E-01	5.000E-02	1.485E-01
1.515E+01	4.350E-01	5.000E-02	1.515E-01
1.545E+01	4.350E-01	5.000E-02	1.545E-01
1.575E+01	4.350E-01	5.000E-02	1.575E-01
1.605E+01	4.350E-01	5.000E-02	1.605E-01
1.635E+01	4.350E-01	5.000E-02	1.635E-01
1.665E+01	4.350E-01	5.000E-02	1.665E-01
1.695E+01	4.345E-01	5.000E-02	1.695E-01
1.725E+01	4.345E-01	5.000E-02	1.725E-01
1.755E+01	4.340E-01	5.000E-02	1.755E-01
1.785E+01	4.335E-01	5.000E-02	1.785E-01
1.815E+01	4.320E-01	5.000E-02	1.815E-01
1.845E+01	4.290E-01	5.000E-02	1.845E-01
1.875E+01	4.190E-01	5.000E-02	1.875E-01
1.905E+01	3.925E-01	5.000E-02	1.905E-01
1.935E+01	3.390E-01	5.000E-02	1.935E-01
